method,gamma,seed,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
eucl_params_nodiv,1.0,46.0,0.4559826385546035,0.03208661079406738,0.6200962066650391,0.6521828174591064,0.5531914893617021,0.358974358974359,0.5,0.4117647058823529
eucl_raw,1.0,42.0,0.48611867658203867,3.814697265625e-06,1.0858328342437744,1.08583664894104,0.9230769230769231,0.21428571428571427,0.53125,0.27586206896551724
eucl_raw,1.0,43.0,0.3928687748570781,2.1457672119140625e-06,1.1740939617156982,1.1740961074829102,0.6451612903225806,0.21428571428571427,0.417910447761194,0.29411764705882354
eucl_raw,1.0,44.0,0.39566553159590423,3.5762786865234375e-06,1.05698561668396,1.0569891929626465,0.723404255319149,0.17391304347826086,0.3103448275862069,0.375
eucl_raw,1.0,45.0,0.3410714285714286,2.384185791015625e-06,1.0485045909881592,1.0485069751739502,0.7142857142857143,0.08333333333333333,0.4,0.16666666666666666
eucl_raw,1.0,46.0,0.41095959595959597,3.814697265625e-06,1.053572416305542,1.0535762310028076,0.6111111111111112,0.16,0.509090909090909,0.36363636363636365
eucl_raw_nodiv,1.0,42.0,0.473695246971109,1.9073486328125e-06,0.5602734088897705,0.5602753162384033,0.918918918918919,0.2,0.5,0.27586206896551724
eucl_raw_nodiv,1.0,43.0,0.37840898822872254,2.384185791015625e-06,0.5462701320648193,0.5462725162506104,0.6451612903225806,0.21428571428571427,0.4117647058823529,0.24242424242424243
eucl_raw_nodiv,1.0,44.0,0.38063311688311685,2.384185791015625e-06,0.5419065952301025,0.5419089794158936,0.68,0.18181818181818182,0.2857142857142857,0.375
eucl_raw_nodiv,1.0,45.0,0.3416666666666667,2.1457672119140625e-06,0.4975614547729492,0.49756360054016113,0.7,0.08333333333333333,0.4166666666666667,0.16666666666666666
eucl_raw_nodiv,1.0,46.0,0.42270088270088274,2.6226043701171875e-06,0.4906179904937744,0.49062061309814453,0.6486486486486487,0.16,0.5185185185185185,0.36363636363636365
sta,1.0,42.0,0.6066451066451067,2.86102294921875e-06,3683.28023314476,3683.280236005783,0.9230769230769231,0.3333333333333333,0.6296296296296297,0.5405405405405406
sta,1.0,43.0,0.5853920797272489,2.384185791015625e-06,3684.4528596401215,3684.4528620243073,0.8,0.3870967741935484,0.6666666666666666,0.4878048780487805
sta,1.0,44.0,0.5288193888977764,3.0994415283203125e-06,3681.9647314548492,3681.9647345542908,0.8085106382978723,0.2857142857142857,0.6,0.42105263157894735
sta,1.0,45.0,0.4763702323757231,2.6226043701171875e-06,3674.987709760666,3674.9877123832703,0.8085106382978723,0.2857142857142857,0.5531914893617021,0.25806451612903225
sta,1.0,46.0,0.696626491787782,2.384185791015625e-06,3681.2964968681335,3681.2964992523193,0.9047619047619048,0.6857142857142857,0.6153846153846154,0.5806451612903226
wasps,0.01,42.0,0.47432879238264797,0.022341012954711914,0.8657548427581787,0.8880958557128906,0.8421052631578947,0.22857142857142856,0.45454545454545453,0.37209302325581395
wasps,0.01,43.0,0.547953705333568,0.02235889434814453,0.9157638549804688,0.9381227493286133,0.8947368421052632,0.3125,0.43478260869565216,0.55
wasps,0.01,44.0,0.49524130289798707,0.024147510528564453,0.8617877960205078,0.8859353065490723,0.8095238095238095,0.24242424242424243,0.42857142857142855,0.4878048780487805
wasps,0.01,45.0,0.4782444505848761,0.022294282913208008,0.9530787467956543,0.9753730297088623,0.6666666666666666,0.36363636363636365,0.425531914893617,0.45714285714285713
