method,gamma,seed,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
wasps,0.1,42.0,0.6840081135644378,0.07547521591186523,1.7877779006958008,1.863253116607666,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.5245901639344263,0.0,0.0,0.8990825688073395
wasps,0.1,43.0,0.7642914862914861,0.07558512687683105,1.8031768798828125,1.8787620067596436,0.7272727272727273,0.875,0.7555555555555555,0.5454545454545454,0.0,0.6666666666666666,0.9607843137254902
wasps,0.1,44.0,0.7498223698781838,0.07515883445739746,1.824636697769165,1.8997955322265625,0.7291666666666666,0.6666666666666666,0.6511627906976745,0.6933333333333334,0.0,0.0,0.9333333333333333
wasps,0.1,45.0,0.7617628337176768,0.09399700164794922,1.7873952388763428,1.881392240524292,0.8155339805825242,0.6666666666666666,0.6511627906976745,0.7076923076923077,0.0,0.0,0.8828828828828829
wasps_nodiv,0.1,42.0,0.4500537035475088,0.07698392868041992,1.2465250492095947,1.3235089778900146,0.6451612903225806,0.4166666666666667,0.13793103448275862,0.13043478260869565,0.0,0.0,0.6711409395973155
wasps_nodiv,0.1,43.0,0.5949259176863181,0.07547163963317871,1.2063188552856445,1.2817904949188232,0.6236559139784946,0.72,0.42424242424242425,0.41379310344827586,0.0,0.6666666666666666,0.7555555555555555
wasps_nodiv,0.1,44.0,0.5710138062954625,0.07967090606689453,1.266465425491333,1.3461363315582275,0.6666666666666666,0.25,0.45161290322580644,0.5373134328358209,0.0,0.0,0.6891891891891891
wasps_nodiv,0.1,45.0,0.5883649871255505,0.07510948181152344,1.211357831954956,1.2864673137664795,0.6818181818181818,0.6,0.15384615384615385,0.6060606060606061,0.0,0.0,0.7183098591549296
eucl_params,0.1,42.0,0.38846160121329304,0.07550859451293945,1.4475367069244385,1.523045301437378,0.5,0.12121212121212122,0.11764705882352941,0.2,0.0,0.0,0.6371681415929203
eucl_params,0.1,43.0,0.3856306393525152,0.07949447631835938,1.4666979312896729,1.5461924076080322,0.3655913978494624,0.4166666666666667,0.12121212121212122,0.14705882352941177,0.0,0.6666666666666666,0.6825396825396826
eucl_params,0.1,44.0,0.4007244663475363,0.07561326026916504,1.4152812957763672,1.4908945560455322,0.4329896907216495,0.08333333333333333,0.32432432432432434,0.31746031746031744,0.0,0.0,0.5806451612903226
eucl_params,0.1,45.0,0.44422862686849257,0.07557964324951172,1.4652457237243652,1.540825366973877,0.5794392523364486,0.10526315789473684,0.06896551724137931,0.23333333333333334,0.0,0.5,0.736
eucl_params_nodiv,0.1,42.0,0.41301043446707425,0.07648754119873047,1.124068260192871,1.2005558013916016,0.5242718446601942,0.16666666666666666,0.13333333333333333,0.2033898305084746,0.0,0.0,0.676923076923077
eucl_params_nodiv,0.1,43.0,0.39346473251041075,0.07563972473144531,1.1061820983886719,1.1818218231201172,0.3116883116883117,0.2857142857142857,0.29411764705882354,0.25316455696202533,0.0,0.6666666666666666,0.6466165413533834
eucl_params_nodiv,0.1,44.0,0.35564572468688155,0.07910561561584473,1.1363859176635742,1.215491533279419,0.38636363636363635,0.0,0.1935483870967742,0.3333333333333333,0.0,0.0,0.5379310344827586
eucl_params_nodiv,0.1,45.0,0.38301961902574866,0.07532715797424316,1.0544965267181396,1.1298236846923828,0.49504950495049505,0.10526315789473684,0.0,0.23728813559322035,0.0,0.5,0.6323529411764706
eucl_raw,0.1,42.0,0.6091059475383345,2.6226043701171875e-06,1.169177770614624,1.1691803932189941,0.6896551724137931,0.7058823529411765,0.68,0.5822784810126582,0.0,0.0,0.5428571428571428
eucl_raw,0.1,43.0,0.6259219647454941,3.0994415283203125e-06,1.1524114608764648,1.1524145603179932,0.6722689075630253,0.5909090909090909,0.7142857142857143,0.42857142857142855,0.0,0.6666666666666666,0.7160493827160493
eucl_raw,0.1,44.0,0.6666608144878384,2.86102294921875e-06,1.1892950534820557,1.1892979145050049,0.7524752475247525,0.37037037037037035,0.6470588235294118,0.6486486486486487,0.0,0.4,0.725
eucl_raw,0.1,45.0,0.5897600308683325,2.1457672119140625e-06,1.1758334636688232,1.1758356094360352,0.7377049180327869,0.5263157894736842,0.7,0.45614035087719296,0.0,1.0,0.5217391304347826
eucl_raw_nodiv,0.1,42.0,0.6091059475383345,2.86102294921875e-06,0.6512131690979004,0.6512160301208496,0.6896551724137931,0.7058823529411765,0.68,0.5822784810126582,0.0,0.0,0.5428571428571428
